1000,1392,
2000,2704,
3000,3710,
4000,5424,
5000,6504,
6000,7904,
7000,9350,
8000,10426,
9000,11538,
10000,12638,
11000,14494,
12000,15858,
13000,17028,
14000,18630,
15000,19778,
16000,21052,
17000,21678,
18000,23418,
19000,25242,
20000,25716,
21000,27466,
22000,29370,
23000,30560,
24000,30894,
25000,32780,
26000,33658,
27000,35188,
28000,37344,
29000,37032,
30000,39920,
31000,41232,
32000,42628,
33000,43844,
34000,44862,
35000,46860,
36000,47230,
37000,49148,
38000,49740,
39000,50974,
40000,54314,
41000,52942,
42000,55468,
43000,57282,
44000,59474,
45000,59880,
46000,61206,
47000,62700,
48000,63874,
49000,65188,
50000,67072,
51000,69718,
52000,68686,
53000,71444,
54000,71336,
55000,74358,
56000,75246,
57000,78192,
58000,78098,
59000,79362,
60000,82130,
61000,83286,
62000,84482,
63000,86572,
64000,85710,
65000,87150,
66000,91066,
67000,93482,
68000,93750,
69000,95994,
70000,99170,
71000,99440,
72000,100730,
73000,101722,
74000,106470,
75000,104742,
76000,108408,
77000,112164,
78000,109786,
79000,114708,
80000,112278,
81000,111314,
82000,114266,
83000,116222,
84000,116014,
85000,117698,
86000,120552,
87000,124462,
88000,125630,
89000,124952,
90000,128452,
91000,130474,
92000,132332,
93000,131412,
94000,133760,
95000,133484,
96000,135482,
97000,137728,
98000,139680,
99000,141048,
100000,141872,
101000,146096,
102000,146840,
103000,148106,
104000,152596,
105000,154102,
106000,154834,
107000,153864,
108000,157360,
109000,158726,
110000,158920,
111000,162326,
112000,159294,
113000,164666,
114000,165278,
115000,167514,
116000,168918,
117000,173206,
118000,174466,
119000,174846,
120000,176540,
121000,184432,
122000,178914,
123000,180104,
124000,184534,
125000,183144,
126000,188362,
127000,187754,
128000,188490,
129000,188710,
130000,194116,
131000,197608,
132000,201810,
133000,211542,
134000,218828,
135000,215032,
136000,224088,
137000,218140,
138000,221824,
139000,224942,
140000,224516,
141000,225570,
142000,225994,
143000,228310,
144000,227836,
145000,217550,
146000,220474,
147000,227990,
148000,249432,
149000,244882,
150000,237872,
151000,250090,
152000,243474,
153000,253720,
154000,253474,
155000,250722,
156000,247602,
157000,261778,
158000,261480,
159000,261722,
160000,250554,
161000,244260,
162000,251190,
163000,246282,
164000,254224,
165000,256094,
166000,255322,
167000,256760,
168000,259462,
169000,264880,
170000,264980,
171000,266876,
172000,264510,
173000,264646,
174000,269128,
175000,272766,
176000,277376,
177000,281174,
178000,274080,
179000,275986,
180000,284986,
181000,282980,
182000,279076,
183000,284842,
184000,286062,
185000,285674,
186000,293942,
187000,297066,
188000,288924,
189000,301358,
190000,300218,
191000,299978,
192000,304836,
193000,308146,
194000,305624,
195000,309026,
196000,311470,
197000,314092,
198000,313166,
199000,318862,
200000,308612,
