100,124,
200,262,
300,320,
400,572,
500,618,
600,694,
700,942,
800,1038,
900,1096,
1000,1264,
1100,1338,
1200,1626,
1300,1732,
1400,1780,
1500,2084,
1600,2036,
1700,2002,
1800,2168,
1900,2634,
2000,2912,
