1000,7693.93728,1444.88381,1231.83479,
2000,14709.1418,710.6375,660.97767,
3000,19270.55725,683.22005,589.36528,
4000,27365.05521,730.05404,602.72646,
5000,34984.62646,642.25262,627.84795,
6000,42916.56434,624.5257,587.9704,
7000,49222.45439,660.01019,612.80794,
8000,58720.39061,795.65477,737.50975,
9000,69806.89731,653.543,679.50695,
10000,75923.67243,690.11359,657.84101,
11000,82300.31889,1159.87387,804.10501,
12000,96037.05462,738.67045,626.25601,
13000,98866.27909,813.89853,696.048,
14000,104245.80482,809.55327,618.86026,
15000,117471.64794,886.99694,668.41319,
16000,127641.78842,836.42089,681.32737,
17000,155243.16635,1076.04163,632.49018,
18000,143571.41468,831.9768,652.19967,
19000,146998.08649,859.40203,995.04652,
20000,161623.4203,862.85067,678.56599,
